Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
145,"Natalia Miloslavskaya, Alexander Tolstoy","Big Data, Fast Data and Data Lake Concepts",2016,"Procedia Computer Science","Elsevier BV","https://doi.org/10.1016/j.procs.2016.07.439","",417,"2025-02-06 14:28:58","journal-article","10.1016/j.procs.2016.07.439","1877-0509","",88,,300,305,145,16.11,73,2,9,"","https://api.elsevier.com/content/article/PII:S1877050916316957",""
81,"Pierre Baldi","Deep Learning in Biomedical Data Science",2018,"Annual Review of Biomedical Data Science","Annual Reviews","https://doi.org/10.1146/annurev-biodatasci-080917-013343","",761,"2025-02-06 14:28:58","journal-article","10.1146/annurev-biodatasci-080917-013343","2574-3414","",1,1,181,205,81,11.57,81,1,7,"Since the 1980s, deep learning and biomedical data have been coevolving and feeding each other. The breadth, complexity, and rapidly expanding size of biomedical data have stimulated the development of novel deep learning methods, and application of these methods to biomedical data have led to scientific discoveries and practical solutions. This overview provides technical and historical pointers to the field, and surveys current applications of deep learning to biomedical data organized around five subareas, roughly of increasing spatial scale: chemoinformatics, proteomics, genomics and transcriptomics, biomedical imaging, and health care. The black box problem of deep learning methods is also briefly discussed.","https://www.annualreviews.org/doi/pdf/10.1146/annurev-biodatasci-080917-013343",""
81,"Pierre Baldi","Deep Learning in Biomedical Data Science",2018,"Annual Review of Biomedical Data Science","Annual Reviews","https://doi.org/10.1146/annurev-biodatasci-080917-013343","",802,"2025-02-06 14:28:58","journal-article","10.1146/annurev-biodatasci-080917-013343","2574-3414","",1,1,181,205,81,11.57,81,1,7,"Since the 1980s, deep learning and biomedical data have been coevolving and feeding each other. The breadth, complexity, and rapidly expanding size of biomedical data have stimulated the development of novel deep learning methods, and application of these methods to biomedical data have led to scientific discoveries and practical solutions. This overview provides technical and historical pointers to the field, and surveys current applications of deep learning to biomedical data organized around five subareas, roughly of increasing spatial scale: chemoinformatics, proteomics, genomics and transcriptomics, biomedical imaging, and health care. The black box problem of deep learning methods is also briefly discussed.","https://www.annualreviews.org/doi/pdf/10.1146/annurev-biodatasci-080917-013343",""
76,"Stephanie Dick","Artificial Intelligence",2019,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.92fe150c","",240,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.92fe150c","","",,,,,76,12.67,76,1,6,"","",""
70,"Robert J. Aughey, Cameron Falloon","Real-time versus post-game GPS data in team sports",2010,"Journal of Science and Medicine in Sport","Elsevier BV","https://doi.org/10.1016/j.jsams.2009.01.006","",288,"2025-02-06 14:28:58","journal-article","10.1016/j.jsams.2009.01.006","1440-2440","",13,3,348,349,70,4.67,35,2,15,"","https://api.elsevier.com/content/article/PII:S1440244009001005",""
70,"Irene V. Pasquetto, Christine L. Borgman, Morgan F. Wofford","Uses and Reuses of Scientific Data: The Data Creators’ Advantage",2019,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.fc14bf2d","",460,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.fc14bf2d","","",1,2,,,70,11.67,23,3,6,"","",""
67,"Michael I. Jordan","Artificial Intelligence—The Revolution Hasn’t Happened Yet",2019,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.f06c6e61","",796,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.f06c6e61","","",,,,,67,11.17,67,1,6,"","",""
67,"Michael I. Jordan","Artificial Intelligence—The Revolution Hasn’t Happened Yet",2019,"Harvard Data Science Review","MIT Press","https://doi.org/10.1162/99608f92.f06c6e61","",864,"2025-02-06 14:28:58","journal-article","10.1162/99608f92.f06c6e61","","",,,,,67,11.17,67,1,6,"","",""
49,"Paolo Cintia, Fosca Giannotti, Luca Pappalardo, Dino Pedreschi, Marco Malvaldi","The harsh rule of the goals: Data-driven performance indicators for football teams",2015,"2015 IEEE International Conference on Data Science and Advanced Analytics (DSAA)","IEEE","https://doi.org/10.1109/dsaa.2015.7344823","",310,"2025-02-06 14:28:58","proceedings-article","10.1109/dsaa.2015.7344823","","",,,1,10,49,4.90,10,5,10,"","http://xplorestaging.ieee.org/ielx7/7344768/7344769/07344823.pdf?arnumber=7344823",""
49,"Gregory Giuliani, Gilberto Camara, Brian Killough, Stuart Minchin","Earth Observation Open Science: Enhancing Reproducible Science Using Data Cubes",2019,"Data","MDPI AG","https://doi.org/10.3390/data4040147","",521,"2025-02-06 14:28:58","journal-article","10.3390/data4040147","2306-5729","",4,4,147,147,49,8.17,12,4,6,"Earth Observation Data Cubes (EODC) have emerged as a promising solution to efficiently and effectively handle Big Earth Observation (EO) Data generated by satellites and made freely and openly available from different data repositories. The aim of this Special Issue, “Earth Observation Data Cube”, in Data, is to present the latest advances in EODC development and implementation, including innovative approaches for the exploitation of satellite EO data using multi-dimensional (e.g., spatial, temporal, spectral) approaches. This Special Issue contains 14 articles covering a wide range of topics such as Synthetic Aperture Radar (SAR), Analysis Ready Data (ARD), interoperability, thematic applications (e.g., land cover, snow cover mapping), capacity development, semantics, processing techniques, as well as national implementations and best practices. These papers made significant contributions to the advancement of a more Open and Reproducible Earth Observation Science, reducing the gap between users’ expectations for decision-ready products and current Big Data analytical capabilities, and ultimately unlocking the information power of EO data by transforming them into actionable knowledge.","https://www.mdpi.com/2306-5729/4/4/147/pdf",""
49,"","Are Scientific Data Repositories Coping with Research Data Publishing?",2016,"Data Science Journal","Ubiquity Press, Ltd.","https://doi.org/10.5334/dsj-2016-006","",707,"2025-02-06 14:28:58","journal-article","10.5334/dsj-2016-006","1683-1470","",15,,,,49,5.44,0,0,9,"","https://doi.org/10.5334/dsj-2016-006",""
47,"Kendra Spence Cheruvelil, Patricia A Soranno","Data-Intensive Ecological Research Is Catalyzed by Open Science and Team Science",2018,"BioScience","Oxford University Press (OUP)","https://doi.org/10.1093/biosci/biy097","",233,"2025-02-06 14:28:58","journal-article","10.1093/biosci/biy097","0006-3568","",68,10,813,822,47,6.71,24,2,7,"","http://academic.oup.com/bioscience/article-pdf/68/10/813/26119349/biy097.pdf",""
43,"Sears Merritt, Aaron Clauset","Scoring dynamics across professional team sports: tempo, balance and predictability",2014,"EPJ Data Science","Springer Science and Business Media LLC","https://doi.org/10.1140/epjds29","",64,"2025-02-06 14:28:58","journal-article","10.1140/epjds29","2193-1127","",3,1,,,43,3.91,22,2,11,"","http://link.springer.com/content/pdf/10.1140/epjds29.pdf",""
