Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
335,"M Muller, I Lange, D Wang, D Piorkowski…","How data science workers work with data: Discovery, capture, curation, design, creation",2019,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3290605.3300356","https://scholar.google.com/scholar?cites=1130816071907634176&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-02-28 10:52:04","","10.1145/3290605.3300356","","",,,,,335,55.83,67,5,6,"… , and workflows, and less on how data science workers engage with the data. In this paper, we … Data science workers develop an intuitive sense of their data and processes, and actively …","https://www.researchgate.net/profile/Dakuo-Wang/publication/332748249_How_Data_Science_Workers_Work_with_Data_Discovery_Capture_Curation_Design_Creation/links/5d61d1ca458515d610227f69/How-Data-Science-Workers-Work-with-Data-Discovery-Capture-Curation-Design-Creation.pdf","https://scholar.google.com/scholar?q=related:AGxb4Dl3sQ8J:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
307,"AX Zhang, M Muller, D Wang","How do data science workers collaborate? roles, workflows, and tools",2020,"Proceedings of the ACM on Human …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3392826","https://scholar.google.com/scholar?cites=10126905476478846463&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-02-28 10:52:04","","10.1145/3392826","","",,,,,307,61.40,102,3,5,"… understanding of how data science workers collaborate in … We found that data science teams are extremely collaborative … for supporting data science team collaborations and future …","https://arxiv.org/pdf/2001.06684","https://scholar.google.com/scholar?q=related:_8V6T-D-iYwJ:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
190,"DJ Patil","Building data science teams",2011,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=wZHe0t4ZgWoC&oi=fnd&pg=PP3&dq=%22data+science+role%22%7C%22data+science+roles%22%7C%22data+science+team%22%7C%22data+science+teams%22%7C%22data+science+worker%22%7C%22data+science+workers%22%7C%22teams+in+data+science%22%7C%22time+de+ci%C3%AAncia+de+dados%22&ots=KD6QRwIiaf&sig=-2U4GMq2gX133b4awPxetLA2d8s","https://scholar.google.com/scholar?cites=1827433210680750030&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-02-28 10:52:04","BOOK","","","",,,,,190,13.57,190,1,14,"As data science evolves to become a business necessity, the importance of assembling a strong and innovative data teams grows. In this in-depth report, data scientist DJ Patil explains …","https://emergetech.org/wp-content/uploads/2020/05/building-data-science-teams.pdf","https://scholar.google.com/scholar?q=related:zq9grdJYXBkJ:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
75,"JS Saltz, NW Grady","The ambiguity of data science team roles and the need for a data science workforce framework",2017,"2017 IEEE international conference on big …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8258190/","https://scholar.google.com/scholar?cites=14737342698503192146&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-02-28 10:52:04","","","","",,,,,75,9.38,38,2,8,"This paper first reviews the benefits of well-defined roles and then discusses the current lack of standardized roles within the data science community, perhaps due to the newness of the …","http://www.midp-info.org/uploads/1/0/6/5/10650753/s02207_2983.pdf","https://scholar.google.com/scholar?q=related:Ur56PRqPhcwJ:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
64,"A Crisan, B Fiore-Gartland…","Passing the data baton: A retrospective analysis on data science work and workers",2020,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9222030/","https://scholar.google.com/scholar?cites=3400078252778769509&as_sdt=2005&sciodt=0,5&hl=en",20,"2025-02-28 10:52:04","","","","",,,,,64,12.80,21,3,5,"… We define nine data science roles that operate within the higher order processes we defined in Section 5. Individuals who carry out work across all data science processes tend to be …","https://www.academia.edu/download/85555365/Crisan_DataScience.pdf","https://scholar.google.com/scholar?q=related:ZcxoESiBLy8J:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
61,"J Saltz, N Hotz, D Wild, K Stirling","Exploring project management methodologies used within data science teams",2018,"","aisel.aisnet.org","https://aisel.aisnet.org/amcis2018/ITProjMgmt/Presentations/12/","https://scholar.google.com/scholar?cites=2181020247808020835&as_sdt=2005&sciodt=0,5&hl=en",25,"2025-02-28 10:52:04","","","","",,,,,61,8.71,15,4,7,"… data science teams use to manage and coordinate their efforts. Unfortunately, based on our survey results, most data science teams … best practices for data science team processes and …","","https://scholar.google.com/scholar?q=related:YxGIHlyKRB4J:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
36,"D Rose, C Agile","Data science: Create teams that ask the right questions and deliver real value",2016,"","Springer","https://link.springer.com/book/10.1007/978-1-4842-2253-9","https://scholar.google.com/scholar?cites=6360307187856685003&as_sdt=2005&sciodt=0,5&hl=en",58,"2025-02-28 10:52:04","BOOK","10.1007/978-1-4842-2253-9","","",,,,,36,4.00,18,2,9,"… team on how to build the best possible data science team for her/his organization. … It explains not only the internal workings of optimum data science teams, but also the activities that …","","https://scholar.google.com/scholar?q=related:y7ePYrBZRFgJ:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
31,"JS Saltz, N Hotz","Identifying the most common frameworks data science teams use to structure and coordinate their projects",2020,"2020 IEEE International Conference on Big …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9377813/","https://scholar.google.com/scholar?cites=5160497157446116968&as_sdt=2005&sciodt=0,5&hl=en",21,"2025-02-28 10:52:04","","","","",,,,,31,6.20,16,2,5,"This paper presents the results of a study focused on exploring which framework, if any, teams use to execute data science projects. The study consisted of a survey of 109 industry …","","https://scholar.google.com/scholar?q=related:aCb9vdLEnUcJ:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
29,"L Lyon, E Mattern","Education for real-world data science roles (Part 2): A translational approach to curriculum development",2016,"International Journal of Digital Curation","ijdc.net","https://www.ijdc.net/index.php/ijdc/article/view/11.2.13","https://scholar.google.com/scholar?cites=17525209338077230992&as_sdt=2005&sciodt=0,5&hl=en",13,"2025-02-28 10:52:04","","","","",,,,,29,3.22,15,2,9,"… with the range of emerging data science roles. A distinctive … Prior commentary on the three data science roles explored in … includes perspectives on building data science teams (Patil, …","https://www.ijdc.net/index.php/ijdc/article/download/11.2.13/447","https://scholar.google.com/scholar?q=related:kLdzWgoNNvMJ:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
25,"K Crowston, JS Saltz, A Rezgui, Y Hegde…","Socio-technical affordances for stigmergic coordination implemented in MIDST, a tool for data-science teams",2019,"Proceedings of the ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3359219","https://scholar.google.com/scholar?cites=7769361105778134689&as_sdt=2005&sciodt=0,5&hl=en",31,"2025-02-28 10:52:04","","10.1145/3359219","","",,,,,25,4.17,5,5,6,"We present a conceptual framework for socio-technical affordances for stigmergic coordination, that is, coordination supported by a shared work product. Based on research on free/…","https://dl.acm.org/doi/pdf/10.1145/3359219","https://scholar.google.com/scholar?q=related:oU6kCcNQ0msJ:scholar.google.com/&scioq=intitle:%22data+science+role%22%7Cintitle:%22data+science+roles%22%7Cintitle:%22data+science+team%22%7Cintitle:%22data+science+teams%22%7Cintitle:%22data+science+worker%22%7Cintitle:%22data+science+workers%22%7Cintitle:%22teams+in+data+science%22%7Cintitle:%22time+de+ci%C3%AAncia+de+dados%22&hl=en&as_sdt=0,5&as_vis=1"
