"";"id";"submitted";"updated";"title";"abstract";"authors";"affiliations";"link_abstract";"link_pdf";"link_doi";"comment";"journal_ref";"doi";"primary_category";"categories";"title_clean";"abstract_clean";"keywords_extracted";"found_in_title";"found_in_abstract";"citations_semantic";"citations_crossref"
"1";"1611.05788v1";"2016-09-30 03:49:16";"2016-09-30 03:49:16";"Data Science in Service of Performing Arts: Applying Machine Learning to
  Predicting Audience Preferences";"  Performing arts organizations aim to enrich their communities through the
arts. To do this, they strive to match their performance offerings to the taste
of those communities. Success relies on understanding audience preference and
predicting their behavior. Similar to most e-commerce or digital entertainment
firms, arts presenters need to recommend the right performance to the right
customer at the right time. As part of the Michigan Data Science Team (MDST),
we partnered with the University Musical Society (UMS), a non-profit performing
arts presenter housed in the University of Michigan, Ann Arbor. We are
providing UMS with analysis and business intelligence, utilizing historical
individual-level sales data. We built a recommendation system based on
collaborative filtering, gaining insights into the artistic preferences of
customers, along with the similarities between performances. To better
understand audience behavior, we used statistical methods from customer-base
analysis. We characterized customer heterogeneity via segmentation, and we
modeled customer cohorts to understand and predict ticket purchasing patterns.
Finally, we combined statistical modeling with natural language processing
(NLP) to explore the impact of wording in program descriptions. These ongoing
efforts provide a platform to launch targeted marketing campaigns, helping UMS
carry out its mission by allocating its resources more efficiently. Celebrating
its 138th season, UMS is a 2014 recipient of the National Medal of Arts, and it
continues to enrich communities by connecting world-renowned artists with
diverse audiences, especially students in their formative years. We aim to
contribute to that mission through data science and customer analytics.
";"Jacob Abernethy|Cyrus Anderson|Alex Chojnacki|Chengyu Dai|John Dryden|Eric Schwartz|Wenbo Shen|Jonathan Stroud|Laura Wendlandt|Sheng Yang|Daniel Zhang";"University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan";"http://arxiv.org/abs/1611.05788v1";"http://arxiv.org/pdf/1611.05788v1";"";"Presented at the Data For Good Exchange 2016";"";"";"stat.AP";"stat.AP|cs.DB|cs.LG";"data science in service of performing arts: applying machine learning to predicting audience preferences";"performing arts organizations aim to enrich their communities through the arts. to do this, they strive to match their performance offerings to the taste of those communities. success relies on understanding audience preference and predicting their behavior. similar to most e-commerce or digital entertainment firms, arts presenters need to recommend the right performance to the right customer at the right time. as part of the michigan data science team (mdst), we partnered with the university musical society (ums), a non-profit performing arts presenter housed in the university of michigan, ann arbor. we are providing ums with analysis and business intelligence, utilizing historical individual-level sales data. we built a recommendation system based on collaborative filtering, gaining insights into the artistic preferences of customers, along with the similarities between performances. to better understand audience behavior, we used statistical methods from customer-base analysis. we characterized customer heterogeneity via segmentation, and we modeled customer cohorts to understand and predict ticket purchasing patterns. finally, we combined statistical modeling with natural language processing (nlp) to explore the impact of wording in program descriptions. these ongoing efforts provide a platform to launch targeted marketing campaigns, helping ums carry out its mission by allocating its resources more efficiently. celebrating its 138th season, ums is a 2014 recipient of the national medal of arts, and it continues to enrich communities by connecting world-renowned artists with diverse audiences, especially students in their formative years. we aim to contribute to that mission through data science and customer analytics.";"arts, customer, data, ums, audience";0;1;1;NA
"2";"1703.02475v1";"2017-03-07 17:09:13";"2017-03-07 17:09:13";"OrpheusDB: Bolt-on Versioning for Relational Databases";"  Data science teams often collaboratively analyze datasets, generating dataset
versions at each stage of iterative exploration and analysis. There is a
pressing need for a system that can support dataset versioning, enabling such
teams to efficiently store, track, and query across dataset versions. We
introduce OrpheusDB, a dataset version control system that ""bolts on""
versioning capabilities to a traditional relational database system, thereby
gaining the analytics capabilities of the database ""for free"". We develop and
evaluate multiple data models for representing versioned data, as well as a
light-weight partitioning scheme, LyreSplit, to further optimize the models for
reduced query latencies. With LyreSplit, OrpheusDB is on average 1000x faster
in finding effective (and better) partitionings than competing approaches,
while also reducing the latency of version retrieval by up to 20x relative to
schemes without partitioning. LyreSplit can be applied in an online fashion as
new versions are added, alongside an intelligent migration scheme that reduces
migration time by 10x on average.
";"Silu Huang|Liqi Xu|Jialin Liu|Aaron Elmore|Aditya Parameswaran";"";"http://arxiv.org/abs/1703.02475v1";"http://arxiv.org/pdf/1703.02475v1";"";"";"";"";"cs.DB";"cs.DB";"orpheusdb: bolt-on versioning for relational databases";"data science teams often collaboratively analyze datasets, generating dataset versions at each stage of iterative exploration and analysis. there is a pressing need for a system that can support dataset versioning, enabling such teams to efficiently store, track, and query across dataset versions. we introduce orpheusdb, a dataset version control system that ""bolts on"" versioning capabilities to a traditional relational database system, thereby gaining the analytics capabilities of the database ""for free"". we develop and evaluate multiple data models for representing versioned data, as well as a light-weight partitioning scheme, lyresplit, to further optimize the models for reduced query latencies. with lyresplit, orpheusdb is on average 1000x faster in finding effective (and better) partitionings than competing approaches, while also reducing the latency of version retrieval by up to 20x relative to schemes without partitioning. lyresplit can be applied in an online fashion as new versions are added, alongside an intelligent migration scheme that reduces migration time by 10x on average.";"dataset, data, lyresplit, orpheusdb, system";0;2;41;NA
"3";"1710.06839v1";"2017-10-18 17:44:17";"2017-10-18 17:44:17";"Driving with Data: Modeling and Forecasting Vehicle Fleet Maintenance in
  Detroit";"  The City of Detroit maintains an active fleet of over 2500 vehicles, spending
an annual average of over \$5 million on new vehicle purchases and over \$7.7
million on maintaining this fleet. Understanding the existence of patterns and
trends in this data could be useful to a variety of stakeholders, particularly
as Detroit emerges from Chapter 9 bankruptcy, but the patterns in such data are
often complex and multivariate and the city lacks dedicated resources for
detailed analysis of this data. This work, a data collaboration between the
Michigan Data Science Team (http://midas.umich.edu/mdst) and the City of
Detroit's Operations and Infrastructure Group, seeks to address this unmet need
by analyzing data from the City of Detroit's entire vehicle fleet from
2010-2017. We utilize tensor decomposition techniques to discover and visualize
unique temporal patterns in vehicle maintenance; apply differential sequence
mining to demonstrate the existence of common and statistically unique
maintenance sequences by vehicle make and model; and, after showing these
time-dependencies in the dataset, demonstrate an application of a predictive
Long Short Term Memory (LSTM) neural network model to predict maintenance
sequences. Our analysis shows both the complexities of municipal vehicle fleet
data and useful techniques for mining and modeling such data.
";"Josh Gardner|Danai Koutra|Jawad Mroueh|Victor Pang|Arya Farahi|Sam Krassenstein|Jared Webb";"University of Michigan|University of Michigan|University of Michigan|University of Michigan|University of Michigan|City of Detroit|City of Detroit";"http://arxiv.org/abs/1710.06839v1";"http://arxiv.org/pdf/1710.06839v1";"";"Presented at the Data For Good Exchange 2017";"";"";"cs.CY";"cs.CY";"driving with data: modeling and forecasting vehicle fleet maintenance in detroit";"the city of detroit maintains an active fleet of over 2500 vehicles, spending an annual average of over \$5 million on new vehicle purchases and over \$7.7 million on maintaining this fleet. understanding the existence of patterns and trends in this data could be useful to a variety of stakeholders, particularly as detroit emerges from chapter 9 bankruptcy, but the patterns in such data are often complex and multivariate and the city lacks dedicated resources for detailed analysis of this data. this work, a data collaboration between the michigan data science team (http://midas.umich.edu/mdst) and the city of detroit's operations and infrastructure group, seeks to address this unmet need by analyzing data from the city of detroit's entire vehicle fleet from 2010-2017. we utilize tensor decomposition techniques to discover and visualize unique temporal patterns in vehicle maintenance; apply differential sequence mining to demonstrate the existence of common and statistically unique maintenance sequences by vehicle make and model; and, after showing these time-dependencies in the dataset, demonstrate an application of a predictive long short term memory (lstm) neural network model to predict maintenance sequences. our analysis shows both the complexities of municipal vehicle fleet data and useful techniques for mining and modeling such data.";"data, vehicle, fleet, city, maintenance";0;1;9;NA
"4";"1901.02547v1";"2019-01-08 22:56:45";"2019-01-08 22:56:45";"Problem Formulation and Fairness";"  Formulating data science problems is an uncertain and difficult process. It
requires various forms of discretionary work to translate high-level objectives
or strategic goals into tractable problems, necessitating, among other things,
the identification of appropriate target variables and proxies. While these
choices are rarely self-evident, normative assessments of data science projects
often take them for granted, even though different translations can raise
profoundly different ethical concerns. Whether we consider a data science
project fair often has as much to do with the formulation of the problem as any
property of the resulting model. Building on six months of ethnographic
fieldwork with a corporate data science team---and channeling ideas from
sociology and history of science, critical data studies, and early writing on
knowledge discovery in databases---we describe the complex set of actors and
activities involved in problem formulation. Our research demonstrates that the
specification and operationalization of the problem are always negotiated and
elastic, and rarely worked out with explicit normative considerations in mind.
In so doing, we show that careful accounts of everyday data science work can
help us better understand how and why data science problems are posed in
certain ways---and why specific formulations prevail in practice, even in the
face of what might seem like normatively preferable alternatives. We conclude
by discussing the implications of our findings, arguing that effective
normative interventions will require attending to the practical work of problem
formulation.
";"Samir Passi|Solon Barocas";"";"http://arxiv.org/abs/1901.02547v1";"http://arxiv.org/pdf/1901.02547v1";"http://dx.doi.org/10.1145/3287560.3287567";"Conference on Fairness, Accountability, and Transparency (FAT* '19),
  January 29-31, 2019, Atlanta, GA, USA";"";"10.1145/3287560.3287567";"cs.CY";"cs.CY";"problem formulation and fairness";"formulating data science problems is an uncertain and difficult process. it requires various forms of discretionary work to translate high-level objectives or strategic goals into tractable problems, necessitating, among other things, the identification of appropriate target variables and proxies. while these choices are rarely self-evident, normative assessments of data science projects often take them for granted, even though different translations can raise profoundly different ethical concerns. whether we consider a data science project fair often has as much to do with the formulation of the problem as any property of the resulting model. building on six months of ethnographic fieldwork with a corporate data science team---and channeling ideas from sociology and history of science, critical data studies, and early writing on knowledge discovery in databases---we describe the complex set of actors and activities involved in problem formulation. our research demonstrates that the specification and operationalization of the problem are always negotiated and elastic, and rarely worked out with explicit normative considerations in mind. in so doing, we show that careful accounts of everyday data science work can help us better understand how and why data science problems are posed in certain ways---and why specific formulations prevail in practice, even in the face of what might seem like normatively preferable alternatives. we conclude by discussing the implications of our findings, arguing that effective normative interventions will require attending to the practical work of problem formulation.";"data, science, formulation, normative, rarely";0;1;197;134
"5";"1901.06261v1";"2019-01-17 00:23:41";"2019-01-17 00:23:41";"NeuNetS: An Automated Synthesis Engine for Neural Network Design";"  Application of neural networks to a vast variety of practical applications is
transforming the way AI is applied in practice. Pre-trained neural network
models available through APIs or capability to custom train pre-built neural
network architectures with customer data has made the consumption of AI by
developers much simpler and resulted in broad adoption of these complex AI
models. While prebuilt network models exist for certain scenarios, to try and
meet the constraints that are unique to each application, AI teams need to
think about developing custom neural network architectures that can meet the
tradeoff between accuracy and memory footprint to achieve the tight constraints
of their unique use-cases. However, only a small proportion of data science
teams have the skills and experience needed to create a neural network from
scratch, and the demand far exceeds the supply. In this paper, we present
NeuNetS : An automated Neural Network Synthesis engine for custom neural
network design that is available as part of IBM's AI OpenScale's product.
NeuNetS is available for both Text and Image domains and can build neural
networks for specific tasks in a fraction of the time it takes today with human
effort, and with accuracy similar to that of human-designed AI models.
";"Atin Sood|Benjamin Elder|Benjamin Herta|Chao Xue|Costas Bekas|A. Cristiano I. Malossi|Debashish Saha|Florian Scheidegger|Ganesh Venkataraman|Gegi Thomas|Giovanni Mariani|Hendrik Strobelt|Horst Samulowitz|Martin Wistuba|Matteo Manica|Mihir Choudhury|Rong Yan|Roxana Istrate|Ruchir Puri|Tejaswini Pedapati";"";"http://arxiv.org/abs/1901.06261v1";"http://arxiv.org/pdf/1901.06261v1";"";"14 pages, 12 figures. arXiv admin note: text overlap with
  arXiv:1806.00250";"";"";"cs.LG";"cs.LG|cs.SE|stat.ML";"neunets: an automated synthesis engine for neural network design";"application of neural networks to a vast variety of practical applications is transforming the way ai is applied in practice. pre-trained neural network models available through apis or capability to custom train pre-built neural network architectures with customer data has made the consumption of ai by developers much simpler and resulted in broad adoption of these complex ai models. while prebuilt network models exist for certain scenarios, to try and meet the constraints that are unique to each application, ai teams need to think about developing custom neural network architectures that can meet the tradeoff between accuracy and memory footprint to achieve the tight constraints of their unique use-cases. however, only a small proportion of data science teams have the skills and experience needed to create a neural network from scratch, and the demand far exceeds the supply. in this paper, we present neunets : an automated neural network synthesis engine for custom neural network design that is available as part of ibm's ai openscale's product. neunets is available for both text and image domains and can build neural networks for specific tasks in a fraction of the time it takes today with human effort, and with accuracy similar to that of human-designed ai models.";"neural, network, ai, models, custom";0;2;7;NA
"6";"1902.08638v1";"2019-02-22 19:16:32";"2019-02-22 19:16:32";"MPP: Model Performance Predictor";"  Operations is a key challenge in the domain of machine learning pipeline
deployments involving monitoring and management of real-time prediction
quality. Typically, metrics like accuracy, RMSE etc., are used to track the
performance of models in deployment. However, these metrics cannot be
calculated in production due to the absence of labels. We propose using an ML
algorithm, Model Performance Predictor (MPP), to track the performance of the
models in deployment. We argue that an ensemble of such metrics can be used to
create a score representing the prediction quality in production. This in turn
facilitates formulation and customization of ML alerts, that can be escalated
by an operations team to the data science team. Such a score automates
monitoring and enables ML deployments at scale.
";"Sindhu Ghanta|Sriram Subramanian|Lior Khermosh|Harshil Shah|Yakov Goldberg|Swaminathan Sundararaman|Drew Roselli|Nisha Talagala";"";"http://arxiv.org/abs/1902.08638v1";"http://arxiv.org/pdf/1902.08638v1";"";"submitted to OpML 2019";"";"";"cs.LG";"cs.LG|stat.ML";"mpp: model performance predictor";"operations is a key challenge in the domain of machine learning pipeline deployments involving monitoring and management of real-time prediction quality. typically, metrics like accuracy, rmse etc., are used to track the performance of models in deployment. however, these metrics cannot be calculated in production due to the absence of labels. we propose using an ml algorithm, model performance predictor (mpp), to track the performance of the models in deployment. we argue that an ensemble of such metrics can be used to create a score representing the prediction quality in production. this in turn facilitates formulation and customization of ml alerts, that can be escalated by an operations team to the data science team. such a score automates monitoring and enables ml deployments at scale.";"performance, metrics, ml, deployment, deployments";0;1;6;NA
"7";"2001.06684v3";"2020-01-18 15:11:56";"2020-04-16 16:38:43";"How do Data Science Workers Collaborate? Roles, Workflows, and Tools";"  Today, the prominence of data science within organizations has given rise to
teams of data science workers collaborating on extracting insights from data,
as opposed to individual data scientists working alone. However, we still lack
a deep understanding of how data science workers collaborate in practice. In
this work, we conducted an online survey with 183 participants who work in
various aspects of data science. We focused on their reported interactions with
each other (e.g., managers with engineers) and with different tools (e.g.,
Jupyter Notebook). We found that data science teams are extremely collaborative
and work with a variety of stakeholders and tools during the six common steps
of a data science workflow (e.g., clean data and train model). We also found
that the collaborative practices workers employ, such as documentation, vary
according to the kinds of tools they use. Based on these findings, we discuss
design implications for supporting data science team collaborations and future
research directions.
";"Amy X. Zhang|Michael Muller|Dakuo Wang";"";"http://arxiv.org/abs/2001.06684v3";"http://arxiv.org/pdf/2001.06684v3";"";"CSCW'2020";"";"";"cs.HC";"cs.HC|cs.AI|cs.LG|cs.SE|stat.ML";"how do data science workers collaborate? roles, workflows, and tools";"today, the prominence of data science within organizations has given rise to teams of data science workers collaborating on extracting insights from data, as opposed to individual data scientists working alone. however, we still lack a deep understanding of how data science workers collaborate in practice. in this work, we conducted an online survey with 183 participants who work in various aspects of data science. we focused on their reported interactions with each other (e.g., managers with engineers) and with different tools (e.g., jupyter notebook). we found that data science teams are extremely collaborative and work with a variety of stakeholders and tools during the six common steps of a data science workflow (e.g., clean data and train model). we also found that the collaborative practices workers employ, such as documentation, vary according to the kinds of tools they use. based on these findings, we discuss design implications for supporting data science team collaborations and future research directions.";"data, science, tools, workers, e.g";2;7;240;NA
"8";"2002.03389v1";"2020-02-09 15:50:50";"2020-02-09 15:50:50";"Trust in Data Science: Collaboration, Translation, and Accountability in
  Corporate Data Science Projects";"  The trustworthiness of data science systems in applied and real-world
settings emerges from the resolution of specific tensions through situated,
pragmatic, and ongoing forms of work. Drawing on research in CSCW, critical
data studies, and history and sociology of science, and six months of immersive
ethnographic fieldwork with a corporate data science team, we describe four
common tensions in applied data science work: (un)equivocal numbers,
(counter)intuitive knowledge, (in)credible data, and (in)scrutable models. We
show how organizational actors establish and re-negotiate trust under messy and
uncertain analytic conditions through practices of skepticism, assessment, and
credibility. Highlighting the collaborative and heterogeneous nature of
real-world data science, we show how the management of trust in applied
corporate data science settings depends not only on pre-processing and
quantification, but also on negotiation and translation. We conclude by
discussing the implications of our findings for data science research and
practice, both within and beyond CSCW.
";"Samir Passi|Steven J. Jackson";"";"http://arxiv.org/abs/2002.03389v1";"http://arxiv.org/pdf/2002.03389v1";"http://dx.doi.org/10.1145/3274405";"";"Proc. ACM Hum.-Comput. Interact. 2, CSCW, Article 136 (November
  2018), 28 pages";"10.1145/3274405";"cs.CY";"cs.CY|cs.AI|cs.LG";"trust in data science: collaboration, translation, and accountability in corporate data science projects";"the trustworthiness of data science systems in applied and real-world settings emerges from the resolution of specific tensions through situated, pragmatic, and ongoing forms of work. drawing on research in cscw, critical data studies, and history and sociology of science, and six months of immersive ethnographic fieldwork with a corporate data science team, we describe four common tensions in applied data science work: (un)equivocal numbers, (counter)intuitive knowledge, (in)credible data, and (in)scrutable models. we show how organizational actors establish and re-negotiate trust under messy and uncertain analytic conditions through practices of skepticism, assessment, and credibility. highlighting the collaborative and heterogeneous nature of real-world data science, we show how the management of trust in applied corporate data science settings depends not only on pre-processing and quantification, but also on negotiation and translation. we conclude by discussing the implications of our findings for data science research and practice, both within and beyond cscw.";"data, science, applied, corporate, trust";0;1;100;135
"9";"2103.05425v1";"2021-03-08 03:44:14";"2021-03-08 03:44:14";"Leveraging Data Scientists and Business Expectations During the COVID-19
  Pandemic";"  The COVID-19 pandemic presented itself as a challenge for separate societal
sectors. On the information technology (IT) standpoint, it does include the
maintenance of the infrastructure required to hold collaborative activities
that went to happen online; the implementation of projects in a scenario of
uncertainty; and keep the software engineering and information security best
practices in place. This article presents the context of a data science team
organized as a skunk works group composed of professionals with experience in
both the industry and academia, located in an IT department working with a team
of seasoned data engineers. At the time the pandemic started, the relatively
new data science team was positioning itself as a Center of Excellence in
Advanced Analytics. With the pandemic, it had to keep up with the expectations
from the stakeholders; manage current and upcoming data science projects within
the methodology practiced in IT; and maintain a high level in the quality of
service delivered. This article discusses how did the COVID-19 pandemic
affected the team productivity and its practices as well as the lessons learned
with it.
";"Wellington Rodrigo Monteiro|Marcio Leandro do Prado|Gilberto Reynoso-Meza";"";"http://arxiv.org/abs/2103.05425v1";"http://arxiv.org/pdf/2103.05425v1";"";"";"";"";"cs.SE";"cs.SE";"leveraging data scientists and business expectations during the covid-19 pandemic";"the covid-19 pandemic presented itself as a challenge for separate societal sectors. on the information technology (it) standpoint, it does include the maintenance of the infrastructure required to hold collaborative activities that went to happen online; the implementation of projects in a scenario of uncertainty; and keep the software engineering and information security best practices in place. this article presents the context of a data science team organized as a skunk works group composed of professionals with experience in both the industry and academia, located in an it department working with a team of seasoned data engineers. at the time the pandemic started, the relatively new data science team was positioning itself as a center of excellence in advanced analytics. with the pandemic, it had to keep up with the expectations from the stakeholders; manage current and upcoming data science projects within the methodology practiced in it; and maintain a high level in the quality of service delivered. this article discusses how did the covid-19 pandemic affected the team productivity and its practices as well as the lessons learned with it.";"data, pandemic, team, 19, covid";0;2;1;NA
"10";"2104.12545v3";"2021-04-09 12:18:46";"2022-07-04 12:00:31";"Agile (data) science: a (draft) manifesto";"  Science has a data management problem, as well as a project management
problem. While industrial-grade data science teams have embraced the agile
mindset, and adopted or created all kind of tools to create reproducible
workflows, academia-based science is still (mostly) mired in a mindset that is
focused on a single final product (a paper), without focusing on incremental
improvement, on any specific problem or customer, or, paying any attention
reproducibility. In this report we argue towards the adoption of the agile
mindset and agile data science tools in academia, to make a more responsible,
and over all, reproducible science.
";"Juan Julián Merelo-Guervós|Mario García-Valdez";"";"http://arxiv.org/abs/2104.12545v3";"http://arxiv.org/pdf/2104.12545v3";"";"";"";"";"cs.CY";"cs.CY|cs.SE|J.m; D.1.m";"agile (data) science: a (draft) manifesto";"science has a data management problem, as well as a project management problem. while industrial-grade data science teams have embraced the agile mindset, and adopted or created all kind of tools to create reproducible workflows, academia-based science is still (mostly) mired in a mindset that is focused on a single final product (a paper), without focusing on incremental improvement, on any specific problem or customer, or, paying any attention reproducibility. in this report we argue towards the adoption of the agile mindset and agile data science tools in academia, to make a more responsible, and over all, reproducible science.";"science, agile, data, mindset, academia";0;2;1;NA
